Type,two_th,2010,2011,2012,2013,2014,2015
Общегосударственные вопросы,0.08830962932667116,0.08776125395227306,0.07118653519899398,0.06280357457698377,0.06375861934427438,0.06309095614237653,0.07155037670976203
Национальная оборона,0.12299859985048638,0.1261642364457235,0.1387523506166211,0.14054967581281302,0.1576550440798863,0.16714838912516003,0.20366934054759364
Национальная безопасность и правоохранительная деятельность,0.10398528637619504,0.10727714669012366,0.11530900859574801,0.14292210634330613,0.15450901254185195,0.14065757257428152,0.1258377788943384
Национальная экономика,0.1708819296921353,0.12084960600873569,0.1638496173720334,0.15265600116169906,0.1385979889358906,0.2065129833246254,0.14879681770202818
Жилищно-коммунальное хозяйство,0.015696633257316357,0.023217141308190664,0.02560942399618554,0.01774642274781211,0.013303575139875847,0.008064492913183672,0.00922647072009464
Охрана окружающей среды,0.001349945805668242,0.001331545828331015,0.0016073318648084705,0.0017443677028386017,0.0018180752456328822,0.0031261912388869154,0.0031791654121123137
Образование,0.0432715455532559,0.04376650774597848,0.050648736277213856,0.046827369465828626,0.05038463350532612,0.04303445007746723,0.039090053289732994
"Культура, кинематография и средства массовой информации*",0.011561475348289166,0.012413958961816731,0.0,0.0,0.0,0.0,0.0
"Культура, кинематография",0.0,0.0,0.007668501350609292,0.006968404709963476,0.007108191255376213,0.006596175974071878,0.005756908385452491
Здравоохранение и спорт*,0.036471045494494904,0.03433210064664402,0.0,0.0,0.0,0.0,0.0
Здравоохранение,0.0,0.0,0.04572293435348878,0.04760165081764852,0.03762139709793213,0.03610779002221914,0.03303308379913296
Социальная политика,0.0334841816866207,0.03409392449583153,0.2863478694640811,0.299319910039037,0.2872781927801036,0.23277153019399932,0.2730617813798653
Физическая культура и спорт,0.0,0.0,0.004046426586500224,0.00354565161135067,0.005096376668394169,0.0047981248452631554,0.00467089675583212
Средства массовой информации,0.0,0.0,0.005594603336101635,0.006012911698916884,0.005794545708354841,0.00504545526434279,0.005256661836885746
Обслуживание государственного и муниципального долга,0.0,0.0,0.02404845477632287,0.024815892649562365,0.027003157638930176,0.028022072544352003,0.033207277825504714
Межбюджетные трансферты*,0.3719897276088669,0.40879257791635837,0.0,0.0,0.0,0.0,0.0
Межбюджетные трансферты общего характера бюджетам бюджетной системы Российской Федерации,0.0,0.0,0.05960820621129809,0.046486060662245934,0.05007119005817234,0.055023815759775184,0.04366338674166444
